FOMC Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Hawkish Score,Neutral Score,Dovish Score,easing,accommodative,supportive,expansion,inflation,tightening,restrictive
2005-05-03,2.9198973,0.2586219,2.744174,1.5943764,-1.52095,0.30280486,-0.9059953,-1.1033989,1.9952116,-0.26440135,0.097795606,-0.26331338,0.30802804,0.44882074,0.07077589,0.1416568,-0.010436515,0.37733534,0.11658161,0.15528737,-0.3161587,-0.0100155985,-0.520093,-0.24072441,0.055976927,-0.32889014,-0.34697384,-0.2520952,-0.33376694,-0.11503893,0.21436553,0.05431345,0.731321,0.0,0.5006251906168433,0.0,0.0,0.8656641488012827,0.0,0.0
2005-06-30,1.8107848,1.1458869,3.5419452,1.7514199,-1.9101957,0.618106,-0.66776013,-0.39869726,2.344823,0.07728434,0.24447678,0.6982363,0.68348855,0.24340586,0.2377675,0.44711664,-0.13874906,0.09222906,-0.3451681,0.75620955,0.19489956,0.48711136,-0.31532586,-0.22698782,-0.4979059,-0.18362033,-0.30344954,-0.39989635,0.04655989,-0.18392998,0.1528995,0.041225653,0.8058748,0.0,0.37327327566551527,0.0,0.666377814224958,0.6454515244251142,0.0,0.0
2005-08-09,1.4260218,-0.1878327,2.1685305,2.452246,0.40608457,2.4621754,-1.1565038,1.2412117,0.90345323,1.4825361,0.96303403,1.2773235,0.20414162,0.44873452,0.2038442,-0.1189024,-0.34962115,-0.28141087,-0.25024307,-0.70262825,-0.08668033,-0.4764138,0.072450794,0.5390052,0.26573417,0.063402526,0.5200402,0.6073401,-0.25615484,-0.064375885,0.26322982,0.042281464,0.69448876,0.0,0.3979177036267169,0.0,0.0,0.9174211143964588,0.0,0.0
2005-09-20,0.76732796,0.26763076,1.4382442,1.2016593,1.6803374,0.7140162,-0.7158303,0.4096469,0.6205954,1.1970291,1.7375395,0.20403194,-1.0775101,0.36779144,0.38732535,-2.7508254,-1.2108707,-0.774708,0.35472313,-1.2495548,0.2273774,0.37706468,0.53017586,0.25673172,0.1748806,0.77444494,-0.28459227,-0.32696557,0.8150034,-0.8716397,0.16921975,0.061264753,0.7695155,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2005-11-01,1.8864818,0.71006763,0.925928,0.79652,-0.049877457,0.94331455,-1.6288823,1.6857016,1.0050534,2.1556077,1.4105122,0.7233546,-0.074461184,0.42333764,0.26261702,0.20441242,-1.6938043,-0.06698173,-0.17616671,-1.1950567,-0.5360657,-0.69332594,-0.041183222,0.6930034,0.679015,-0.64375454,0.39888555,0.3978993,-0.530774,0.28077206,0.14122747,0.08933328,0.7694392,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2005-12-13,1.2173244,2.0049162,1.3857936,2.471352,0.8842272,0.62329644,0.44461915,1.8549796,0.44891083,2.7583168,0.5037342,0.064086,-0.49716213,1.4544299,0.094606526,0.03826089,0.22495179,-0.31097656,-0.5373216,-0.25959954,0.8567422,0.09921213,0.33672962,0.28095782,0.6309932,-0.040914677,0.5675571,0.36192352,-0.71932787,0.2709673,0.14156024,0.043865126,0.81457466,0.0,0.0,0.0,0.7182951571534791,0.6957385049067346,0.0,0.0
2006-01-31,2.353202,1.6875968,2.36279,2.3492723,1.2711034,-1.2350004,1.2351559,1.2130107,0.16180402,1.4238192,0.034690768,-0.6932745,-1.2465795,1.2409627,-0.37547442,0.07066352,0.71633416,0.008262496,-0.19160117,0.20289186,0.7744522,-0.26125422,0.064737365,-0.13100559,0.19858286,0.4995088,0.14000441,-0.1798169,-0.2741645,0.805769,0.14448082,0.047102142,0.808417,0.0,0.0,0.0,0.7182951571534791,0.6957385049067346,0.0,0.0
2006-03-28,2.9473443,0.081582636,2.6670542,1.9579343,-0.36005104,-1.2563517,0.7078154,-1.2094898,-0.12232538,0.2697285,-0.42544317,-0.4263179,-1.0263525,0.8097943,-0.7644423,-0.5596492,0.12733656,0.5134319,0.35527298,0.46059582,-0.43324658,0.12052078,0.1041897,0.1878056,0.8757002,0.22668368,0.06464911,0.15847893,0.4789575,0.6962744,0.217212,0.045396294,0.7373917,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2006-05-10,1.5932639,-0.7848227,2.7751236,1.5110139,-1.186509,-1.2639674,0.22385101,-1.4662988,0.5281673,0.78253895,-0.5644737,-0.4663501,-0.6991953,0.5664994,-0.95212966,-1.5850524,0.3417353,-0.041366514,-0.034943826,-0.5634085,-0.34777144,0.659712,1.0070515,0.3189569,0.6771726,-1.2030327,-0.55474055,0.35764125,0.43156704,0.06418718,0.16740726,0.04030116,0.7922916,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2006-06-29,2.5647826,-0.39949134,3.0438786,2.283112,-0.6267383,-1.5309494,0.64516455,-1.5181289,-0.8888685,0.31121522,-0.3545617,-0.29259628,-0.92015547,0.5197383,-0.91515934,-0.7960988,-0.20568807,0.60469836,0.11395293,0.21541254,-0.48848864,0.04023336,0.022856481,0.18453968,0.5939998,-0.009925105,-0.25217253,0.17750254,0.22426508,-0.09052704,0.22588679,0.03990071,0.73421246,0.0,0.0,0.0,0.0,1.0,0.0,0.0
