FOMC Date,Difference(-1),Difference(+1),Difference(+5),Difference(+20),Difference(+30)
2004-01-28,-5.91000366210929,2.139999389648409,-1.0500030517578978,6.0800018310546875,-1.3899993896484943
2004-03-16,0.9099884033203125,3.790008544921875,-1.7199859619140057,6.3300018310546875,8.030014038085994
2004-05-04,-0.5500030517578978,0.34999084472661934,-7.9600067138671875,1.5099945068359943,3.3000030517578978
2004-06-30,0.7000122070312784,-1.620010375976591,-8.65000915527338,-9.770004272460994,-21.410003662109403
2004-08-10,3.440002441406307,-1.9700012207030966,3.2200012207032103,11.329986572265597,11.599990844726591
2004-09-21,1.4600067138671022,-2.850006103515625,-3.5400085449219034,0.38999938964838066,10.13999938964838
2004-11-10,-0.10000610351568184,2.490020751953068,3.2799987449218975,5.980010986328068,9.82000732421875
2004-12-14,1.4200134621093525,0.9799804000000449,0.5099792136718975,-1.1900024757811707,-8.21002200703117
2005-02-02,1.220001220703125,-1.230010986328125,-1.209991455078125,0.07998657226556816,-2.899993896484432
2005-03-22,-2.160003662109318,-1.0999755859376137,1.52001953125,-15.149993896484403,-8.129989624023494
2005-05-03,0.8800048828126137,5.099990844726506,2.2699890136719034,14.049987792968693,17.389984130859318
2005-06-30,-1.209991455078125,0.28997802734369316,4.939971923828125,14.369995151562478,12.679992675781307
2005-08-09,2.850006103515625,-0.360015869140625,-2.940002441406307,-4.3900146484375,-21.50001525878909
2005-09-20,-4.510009765625028,-3.8300018310546875,0.27000427246099434,-8.39999389648429,-2.5899963378905966
2005-11-01,0.13999938964840908,4.4499969482421875,4.20999145507821,9.399993896484375,14.3699951171875
2005-12-13,1.1400146484375,1.209991455078125,-3.71002197265625,0.7699890136719318,-0.32000732421875
2006-01-31,-0.790008544921875,0.9300232277343525,-2.699981689453125,3.46002197265625,4.32000732421875
2006-03-28,-1.20001220703125,1.8999938964844318,0.58001708984375,1.4200134277344318,8.8900146484375
2006-05-10,0.20001220703125,-2.670013427734375,-10.33001708984375,-12.410003662109375,-14.399993896484375
2006-06-29,5.440002441406307,0.269989013671875,-3.540008544921875,-8.540008544921903,-10.600021362304688
2006-08-08,-2.559997558593693,-3.270004272460909,4.31999203105471,6.7100067138671875,20.650009155273494
2006-09-20,2.410003662109432,-1.9500122070313068,3.949981689453068,15.029998779296818,17.850006103515568
2006-10-25,-0.80999755859375,3.94000244140625,-0.17999267578125,9.149993896484375,8.79998779296875
2006-12-12,-1.5700073585937844,0.9800110207031025,3.020019599999955,9.400024448437478,6.6300049171874775
2007-01-31,3.33001708984375,1.2200012550781025,3.509979248046932,-10.930023193359375,-15.20001220703125
2007-03-21,4.69000244140625,-0.9900207519530682,-6.899993896484375,3.29998779296875,4.910003662109318
2007-05-09,1.240020751953125,-3.8900146484375,-1.67999267578125,-4.779998779296818,0.8599853515625
2007-06-28,-0.14999386210939747,-0.6300048828125,6.230010986328182,-17.8699951171875,-22.540008544921818
2007-08-07,1.1700134277343182,3.160003662109432,-11.970001220703068,-3.6300048828123863,5.019989013671932
2007-09-18,9.660003662109375,0.839996337890625,-9.769989013671875,-4.269989013671875,-8.970001220703125
2007-10-31,1.82000732421875,-7.790008544921932,-15.760009765625,-20.32000732421875,-24.410003662109318
2007-12-11,-7.8800048484375225,-0.16998291015630684,-5.129974365234375,-21.59999084472659,-23.049987792968693
2008-01-30,-1.5900115966798012,8.400009155273494,-1.8600006103515057,6.889999389648494,-7.029998779296818
2008-03-18,10.100006103515682,-3.1699981689453978,5.899993896484318,3.5500030517578125,10.830001831054602
2008-04-30,-2.889984096484426,8.350006103515597,2.2599945068359943,2.129989624023409,-10.6300048828125
2008-06-25,3.3899993896484943,-8.240005493164091,-15.850006103515682,-10.510009765625085,-6.779998779296903
2008-08-05,10.100006103515682,-1.0600128173828978,8.519989013671818,11.6199951171875,-7.310012817382898
2008-09-16,1.3300018310546022,-11.550003051757812,-13.509994506835909,-59.5699920654296,-70.23999023437491
2008-10-29,-0.11000061035159092,5.509994506835909,3.7099914550780966,-8.860000610351591,-4.260009765625
2008-12-16,9.129989624023409,0.7000122070312784,-10.309997558593722,-11.0,-20.159988403320312
2009-01-28,6.5,-6.5,-11.370010375976591,-23.980010986328097,-20.930007934570284
2009-03-18,4.699996948242216,-1.8099975585937216,4.899993896484375,24.34999084472659,32.4599914550781
2009-04-29,3.989990234375,2.330001831054716,9.030014038085994,-2.1099853515623863,7.590011596679801
2009-06-24,0.9600067138671875,5.1599884033203125,6.089996337890597,20.37998962402341,25.449996948242102
2009-08-12,3.419998168945199,-1.0500030517578125,-6.099990844726506,5.9499969482421875,6.260009765625085
2009-09-23,0.7999877929686932,-5.689987182617102,-3.1999969482421875,0.35000610351571027,-6.379989624023381
2009-11-04,-0.279998779296875,5.489990234375,13.800003051757784,13.989990234375,18.899993896484375
2009-12-16,0.38999938964849434,-2.820007324218807,2.659988403320199,1.4899902343749147,-4.370010375976591
2010-01-27,0.8099975585936932,-1.479995727539091,3.4700012207030966,8.75,21.670013427734403
2010-03-16,1.4199981689453978,1.2400207519530966,4.240020751953097,18.27999877929679,19.38000488281247
2010-04-28,-0.79998779296875,5.649993896484318,-6.470001220703068,-24.889999389648466,-21.080001831054688
2010-06-23,0.089996337890625,-6.1300048828125,-18.589996337890625,-3.029998779296818,5.3699951171875
2010-08-10,-2.070007324218693,-6.8699951171875,-6.729995727539091,-1.4099884033203125,7.610015869140625
2010-09-21,-1.1000061035156818,-1.739990234375,3.970001220703068,6.980010986328068,18.3800048828125
